id,proponent_id,project,macrosector
1,1,Como Manter a Esperança?,Saúde e Bem-estar
2,2,Labirinto do Aprendizado,Educação
3,3,Energia Solar,Energia e Recursos
4,4,CRISPR-Cas9 na Terapia Gênica,Ciência e Pesquisa
5,5,Campanha de Conscientização sobre Economia de Água em Condomínios,Sustentabilidade
6,6,SmartCommute,Tecnologia e Informação
7,7,TechBridge: Capacitação em Tecnologia para Jovens em Situação de Risco,Educação
8,8,Programa de Comunicação Interna,Comunicação e Mídia
9,9,Vita Verde (Vida Verde),Meio Ambiente
10,10,Iniciativa de Educação Financeira,Educação
11,11,HealthTech Innovate,Tecnologia e Inovação
12,12,Yacht de Yeux (Iate dos Olhos),Serviços Sociais
13,13,EcoDrive Solutions,Tecnologia e Inovação
14,14,Avanços em Nanotecnologia para Energia Renovável,Ciência e Pesquisa
15,15,ESPAÇO (Estratégias Sustentáveis para Preservação Ambiental e Comunidades Organizadas),Meio Ambiente
16,16,ZêniteZaffre,Ciência e Pesquisa
17,17,Inovação Intensa,Tecnologia e Inovação
18,18,Tech para o Amanhã: Bootcamp de Codificação para Jovens Desfavorecidos,Educação
19,19,Corazon Community (Comunidade Coração),Serviços Sociais
20,20,Zenith,Tecnologia e Inovação
21,21,O Que Nos Move?,Saúde e Bem-estar
22,22,Energia Limpa para Todos: Instalação de Painéis Solares em Habitação de Baixa Renda,Energia e Recursos
23,23,Crescimento e Cooperação,Economia e Finanças
24,24,Iniciativa de Valorização da Cultura Quilombola em Escolas,Educação
25,25,Iniciativa Renascer,Educação
26,26,ArteAerolito,Arte e Cultura
27,27,AGIR (Ações Globais de Impacto e Resposta),Serviços Sociais
28,28,ConexãoTech,Tecnologia e Informação
29,29,MosaicoMolecular,Ciência e Pesquisa
30,30,Desenvolvimento de Tecnologia para Monitoramento de Desmatamento na Amazônia,Tecnologia e Inovação
31,31,QuantumQuartzo,Ciência e Pesquisa
32,32,FísicaFiligrana,Ciência e Pesquisa
33,33,Projeto Renovação Empresarial,Desenvolvimento Econômico e Empresarial
34,34,Estudos de Interação Genoma-Ambiente na Psicologia,Ciência e Pesquisa
35,35,SmartCity Systems,Tecnologia e Inovação
36,36,Iniciativa Diversidade na Totvs,Serviços Sociais
37,37,Empreenda Verde: Estímulo ao Empreendedorismo Sustentável,Sustentabilidade
38,38,Legado Luminoso,Arte e Cultura
39,39,EcoFerry,Transporte e Logística
40,40,LíderesEmpatía+,Serviços Sociais
41,41,Desenvolvimento de Tecnologia para Reciclagem de Resíduos Orgânicos,Tecnologia e Inovação
42,42,EmpowerWomen: Capacitação Feminina,Educação
43,43,TechBoost: Impulso Tecnológico para Inovação,Tecnologia e Inovação
44,44,Escada do Sucesso,Educação
45,45,Tranquillité Technologique (Tranquilidade Tecnológica),Tecnologia e Inovação
46,46,Manto da Mudança,Serviços Sociais
47,47,GreenLogistics,Sustentabilidade
48,48,Nêmesis Néctar,Agricultura e Alimentação
49,49,Davinci Data,Tecnologia e Inovação
50,50,Ações de Felicidade na Pharmalife,Saúde e Bem-estar
51,51,O Que Faz Você Feliz?,Saúde e Bem-estar
52,52,Proyecto de Evaluación de Desempeño,Educação
53,53,Rede de Empoderamento Juvenil: Programa de Desenvolvimento de Liderança,Educação
54,54,Caminho Limpo: Redução da Poluição Veicular,Tecnologia e Inovação
55,55,Chave do Conhecimento,Educação
56,56,CleanVehicle Technologies,Tecnologia e Inovação
57,57,Ações de Promoção da Saúde Mental em Hospitais Públicos,Saúde e Bem-estar
58,58,Desenvolvimento de Vacinas de RNA Mensageiro,Engenharia
59,59,Reflorestamento e Biodiversidade,Meio Ambiente
60,60,DesafioCultural,Arte e Cultura
61,61,Inclusão Digital,Tecnologia e Inovação
62,62,Ações de Promoção da Diversidade e Inclusão em Instituições de Ensino Médio,Educação
63,63,Tecnologia Verde,Tecnologia e Inovação
64,64,Qualidade Quântica,Ciência e Pesquisa
65,65,Programa de Crescimento Profissional,Educação
66,66,AprendizadoAtivo,Educação
67,67,Iniciativa de Inclusão Digital em Comunidades Marginalizadas,Tecnologia e Inovação
68,68,Projeto Impacto Positivo,Sustentabilidade
69,69,Cápsula do Tempo,Arte e Cultura
70,70,Iniciativa Diversidade na Vivo,Serviços Sociais
71,71,Projeto Equidade na Vale,Serviços Sociais
72,72,Ponte para o Amanhã,Sustentabilidade
73,73,Rede de Conexões,Tecnologia e Inovação
74,74,Habilidades Holísticas,Educação
75,75,GreenTech: Desenvolvimento de Tecnologias Limpas,Tecnologia e Inovação
76,76,Bastião da Biodiversidade,Meio Ambiente
77,77,Cidades Verdes,Desenvolvimento Urbano e Infraestrutura
78,78,EducaCambio,Educação
79,79,FuturoCultural,Arte e Cultura
80,80,Programa de Planejamento de Carreira,Educação
81,81,Elevate,Educação
82,82,Projeto de Inclusão Digital para Idosos em Instituições de Longa Permanência,Educação
83,83,Asas da Liberdade,Direito e Governança
84,84,Programa de Capacitação em Agricultura Sustentável para Pequenos Produtores,Educação
85,85,Projeto de Aprendizagem Organizacional,Educação
86,86,Floresta Viva,Meio Ambiente
87,87,PACTO (Programa de Ação Comunitária e Transformação Organizacional),Serviços Sociais
88,88,Inspiración Ilimitada (Inspiração Ilimitada),Educação
89,89,VOA (Visão Organizada de Ação),Geral e Diversificado
90,90,Medusa de Media,Comunicação e Mídia
91,91,SOLAR (Soluções Orgânicas e Liderança para Agricultura Responsável),Agricultura e Alimentação
92,92,AcciónTransformadora,Serviços Sociais
93,93,Inovação com Intenção,Tecnologia e Inovação
94,94,SaúdeSodalita,Saúde e Bem-estar
95,95,Ações de Promoção da Diversidade e Inclusão em Instituições de Ensino Fundamental,Educação
96,96,Campanha de Sensibilização para a Conservação de Espécies Ameaçadas,Sustentabilidade
97,97,Educação para a Diversidade,Educação
98,98,Engenharia Genética Experimental,Engenharia
99,99,Corrente do Bem,Serviços Sociais
100,100,Tech para Todos: Acesso Digital para Organizações Sem Fins Lucrativos,Tecnologia e Inovação
101,101,Quando Começar a Agir?,Educação
102,102,Projeto de Tecnologia na Samsung,Tecnologia e Inovação
103,103,Iniciativa de Inovação na Intel,Tecnologia e Inovação
104,104,Programa Empoderamento na Marfrig,Serviços Sociais
105,105,Jogo de vida,Educação
106,106,Projeto Transformação,Educação
107,107,O Que Nos Inspira?,Arte e Cultura
108,108,TransitVision,Tecnologia e Informação
109,109,Quem Seremos Amanhã?,Educação
110,110,Por Que Reciclar?,Sustentabilidade
111,111,Project HOPE: Programa de Assistência Médica para Comunidades Carentes,Saúde e Bem-estar
112,112,SustentaFuturo,Sustentabilidade
113,113,Muralha da Motivação,Serviços Sociais
114,114,DigitalHealth Hub,Tecnologia e Inovação
115,115,SmartEco,Tecnologia e Inovação
116,116,Navegar o Conhecimento,Educação
117,117,Lápis de Luxor,Educação
118,118,EnviroDrive,Transporte e Logística
119,119,Projeto Alegria e Bem-Estar,Saúde e Bem-estar
120,120,Technologie Tranquille (Tecnologia Tranquila),Tecnologia e Inovação
121,121,Ferramentas para o Sucesso,Educação
122,122,EcoGlide,Sustentabilidade
123,123,CriaçãoSaúde,Saúde e Inovação
124,124,LIMPA (Liderança e Inovação em Manejo e Proteção Ambiental),Meio Ambiente
125,125,Green Horizons: Educação Ambiental para a Juventude,Educação
126,126,Desafio do Desenvolvimento,Educação
127,127,SustainableShipping,Transporte e Logística
128,128,Lumière Learning (Aprendizado Iluminado),Educação
129,129,Master,Educação
130,130,Iniciativa de Desenvolvimento de Resiliência,Educação
131,131,Projeto Renascimento,Saúde e Bem-estar
132,132,Inclusão no Trabalho,Serviços Sociais
133,133,ECOAR (Educação Comunitária e Oportunidades de Aprendizado Rural),Educação
134,134,ConstruyeEquidad,Serviços Sociais
135,135,Jardin de Joy (Jardim de Alegria),Meio Ambiente
136,136,Mosaico Multicultural,Direito e Governança
137,137,ImpulsaInnovación,Educação
138,138,HabitatHematita,Meio Ambiente
139,139,Programa de Bem-Estar na Intel,Saúde e Bem-estar
140,140,EcoBike Sharing,Sustentabilidade
141,141,Programa de Flexibilidade no Trabalho,Gestão e Recursos Humanos
142,142,RISO (Resposta Inovadora para Saúde e Oportunidade),Saúde e Bem-estar
143,143,REAL (Reforma Educativa para Aprendizagem Livre),Educação
144,144,Espelho da Sociedade,Serviços Sociais
145,145,Vórtice de Virtudes,Serviços Sociais
146,146,NúcleoNefrite,Ciência e Pesquisa
147,147,Proyecto Valor+,Serviços Sociais
148,148,Beyond Barriers: Inclusão de Refugiados no Mercado de Trabalho,Serviços Sociais
149,149,Ações de bem-estar e saúde mental na Wacker,Saúde e Bem-estar
150,150,EcoMover,Sustentabilidade
151,151,Kleos de Conhecimento,Educação
152,152,Vela da Visão,Ciência e Pesquisa
153,153,Empreenda Verde: Incentivo ao Empreendedorismo Sustentável,Sustentabilidade
154,154,Desenvolvimento de Tecnologia para Monitoramento de Fauna Silvestre,Tecnologia e Inovação
155,155,Projeto Igualdade na Magazine Luiza,Serviços Sociais
156,156,Programa de Química Orgânica Sintética,Ciência e Pesquisa
157,157,VórticeVanilla,Meio Ambiente
158,158,SmartWaterways,Sustentabilidade
159,159,Quem Vai Curar o Mundo?,Saúde e Bem-estar
160,160,Programa de Capacitação em Empreendedorismo para Mulheres em Situação de Vulnerabilidade,Educação
161,161,Como Conectamos o Mundo?,Tecnologia e Comunicação
162,162,Jovens Líderes para Ação Climática,Meio Ambiente
163,163,Cielo Claro (Céu Claro),Meio Ambiente
164,164,SmartTransit,Tecnologia e Inovação
165,165,Energia Eficiente,Energia e Recursos
166,166,DigitalHealth Innovations,Saúde e Tecnologia
167,167,BioInova,Engenharia
168,168,GreenInfrastructure,Sustentabilidade
169,169,"Clean Streets, Futuro Verde: Projeto de Embellecimento Urbano",Sustentabilidade
170,170,Youth Empowerment Program: Leadership Development for At-Risk Youth,Educação
171,171,Construindo o Futuro,Educação
172,172,Quando Nos Tornamos Sustentáveis?,Sustentabilidade
173,173,EcoTransit,Transporte e Logística
174,174,Campanha de Sensibilização para a Redução do Uso de Plásticos em Praças Públicas,Meio Ambiente
175,175,Estudos de Materiais Fotovoltaicos para Energia Solar,Engenharia
176,176,DE&I na Gerdau,Serviços Sociais
